device,case_id,family,cells,rank,payload_bytes,consumers,reuse,working_records,cache,comparison,median_difference_us,ci_low,ci_high,winner,test_effect_mean_us,raw_p,test,multiple_testing_family,corrected_p
cpu,6,core,36,32,4608,1,64,1,warm,F minus D,-1471.0500000000004,-1480.9680000000008,-1454.2349999999994,F,-1467.0292727272733,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,6,core,36,32,4608,1,64,1,warm,E minus D,-1466.7019999999995,-1470.308000000001,-1454.9160000000004,E,-1464.2502727272733,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,7,core,36,32,4608,1,128,1,warm,E minus C,-1007.8389999999972,-1029.6299999999983,-992.9939999999995,E,-1009.8671818181821,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,7,core,36,32,4608,1,128,1,warm,D minus C,1899.4829999999965,1871.3089999999988,1926.3780000000006,C,1903.5031818181815,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,7,core,36,32,4608,1,128,1,warm,G minus F,-13.016000000000531,-30.05200000000127,4.743000000000393,unresolved,-8.684000000000156,0.20703125,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,7,core,36,32,4608,1,128,1,warm,F minus D,-2905.396000000001,-2915.104000000001,-2900.442000000002,F,-2912.8756363636367,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,7,core,36,32,4608,1,128,1,warm,E minus D,-2920.4549999999967,-2932.4379999999983,-2898.7309999999984,E,-2913.370363636364,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,8,core,36,32,4608,3,1,1,warm,E minus C,-15.163999999999987,-17.988,-14.153999999999996,E,-17.597636363636365,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,8,core,36,32,4608,3,1,1,warm,D minus C,50.263999999999996,49.637000000000015,53.678,C,49.19745454545454,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,8,core,36,32,4608,3,1,1,warm,G minus F,17.771000000000015,14.777000000000015,19.19999999999999,F,18.195545454545456,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,8,core,36,32,4608,3,1,1,warm,F minus D,-65.46499999999999,-68.03099999999999,-64.91199999999999,F,-67.20536363636363,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
