source,sequence,arm,loss,prior_loss
relayout.json,pigs,permuted,0.40004027061192676,0.4847995144753635
relayout.json,planes-water,permuted,0.4187488998728234,0.391661906823344
relayout.json,rollerblade,permuted,0.52326032031924,0.3882746437561706
relayout.json,scooter-black,permuted,0.30913723140359417,0.37164804879907487
relayout.json,stunt,permuted,0.5197844078306424,0.3401367483736875
relayout.json,swing,permuted,0.2850041836134346,0.3235710749042633
relayout.json,tuk-tuk,permuted,0.40429956422771535,0.4119544696425309
relayout.json,blackswan,permuted+inverse,0.02184321100332487,0.5075050604912671
relayout.json,breakdance,permuted+inverse,0.019157763055143214,0.42328683569025044
relayout.json,breakdance-flare,permuted+inverse,0.018226943764596017,0.329248180498872
relayout.json,bus,permuted+inverse,0.02879411487055333,0.4813485060555201
relayout.json,car-roundabout,permuted+inverse,0.01764477410165579,0.3642309764325436
relayout.json,color-run,permuted+inverse,0.025254620553066598,0.4345461299671222
relayout.json,crossing,permuted+inverse,0.020683821411149668,0.3530025144549645
relayout.json,dog-gooses,permuted+inverse,0.023789121609374495,0.39084630278737137
relayout.json,dogs-jump,permuted+inverse,0.030518276894437802,0.4456321931164199
relayout.json,elephant,permuted+inverse,0.02319666253680212,0.34359448101875123
relayout.json,goat,permuted+inverse,0.02599950036976501,0.5508454433676998
relayout.json,hike,permuted+inverse,0.01859261736599971,0.4685182169668491
relayout.json,kid-football,permuted+inverse,0.03201837483687184,0.504293812388233
relayout.json,lab-coat,permuted+inverse,0.021069583659436498,0.35987983007140995
relayout.json,lady-running,permuted+inverse,0.0182530224691385,0.35114943632147566
relayout.json,lindy-hop,permuted+inverse,0.015578528217881398,0.346594012882935
relayout.json,longboard,permuted+inverse,0.020958413286586184,0.4246557689072279
relayout.json,mallard-fly,permuted+inverse,0.02802627976724422,0.5162775658883086
relayout.json,mallard-water,permuted+inverse,0.015723634531718555,0.4856578195483749
relayout.json,mbike-trick,permuted+inverse,0.020431560429972236,0.3786051766290324
relayout.json,miami-surf,permuted+inverse,0.015105897810755923,0.5407848240705339
relayout.json,motocross-jump,permuted+inverse,0.026404267025031708,0.508424157547996
relayout.json,paragliding,permuted+inverse,0.025992001399134802,0.5530483777814944
relayout.json,pigs,permuted+inverse,0.023863357673924734,0.4847995144753635
relayout.json,planes-water,permuted+inverse,0.021698090562128205,0.391661906823344
relayout.json,rollerblade,permuted+inverse,0.022731029682143,0.3882746437561706
relayout.json,scooter-black,permuted+inverse,0.01585976051731384,0.37164804879907487
relayout.json,stunt,permuted+inverse,0.02391358183701756,0.3401367483736875
relayout.json,swing,permuted+inverse,0.021035625374122787,0.3235710749042633
relayout.json,tuk-tuk,permuted+inverse,0.0219798076285533,0.4119544696425309
