device,case_id,family,cells,rank,consumers,reuse,working_records,cache,arm,payload_bytes_per_record,stored_payload_bytes,serialized_metadata_bytes,resident_metadata_bytes,record_headers_bytes,read_write_ratio,implementation_sha256,median_total_us,ci_low,ci_high,median_write_us,read_p50_us,read_p95_us,read_p99_us,energy_gross_mJ_per_amortized_read,max_peak_gpu_bytes,blocks
cpu,4,core,36,32,1,16,1,warm,D,4608,4608,36,288,16,16.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,788.9549999999999,781.5020000000001,865.1639999999999,31.093,45.9425,54.67,57.494350000000004,,,11
cpu,4,core,36,32,1,16,1,warm,E,4608,4608,0,0,16,16.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,307.42100000000005,297.459,326.63,32.696,16.322499999999998,20.203000000000003,21.858999999999998,,,11
cpu,4,core,36,32,1,16,1,warm,F,4608,4608,0,0,16,16.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,302.548,297.81199999999995,327.70799999999997,33.232,16.427999999999997,19.005,20.7834,,,11
cpu,4,core,36,32,1,16,1,warm,G,4608,4608,0,0,16,16.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,308.95,295.72200000000004,346.836,39.586,16.3485,19.0045,20.692899999999998,,,11
cpu,5,core,36,32,1,32,1,warm,A,4608,4608,0,0,16,32.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,452.805,441.992,484.2469999999999,18.182,13.2185,14.88365,19.301050000000007,,,11
cpu,5,core,36,32,1,32,1,warm,B,4608,4608,0,0,16,32.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,448.4169999999999,423.9770000000001,459.80300000000005,4.817,13.407,14.7044,17.34404,,,11
cpu,5,core,36,32,1,32,1,warm,C,4608,4608,36,288,16,32.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,713.2940000000001,699.991,752.6570000000002,25.604,21.1075,23.75435,28.418090000000003,,,11
cpu,5,core,36,32,1,32,1,warm,D,4608,4608,36,288,16,32.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1207.155,1181.0329999999997,1297.0850000000003,27.075,36.092,41.5609,45.45277000000001,,,11
cpu,5,core,36,32,1,32,1,warm,E,4608,4608,0,0,16,32.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,453.35400000000004,444.656,483.43099999999987,26.544,13.0695,14.8157,17.096290000000003,,,11
cpu,5,core,36,32,1,32,1,warm,F,4608,4608,0,0,16,32.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,459.18700000000007,446.80499999999995,488.717,26.659,13.072,14.99315,17.241220000000002,,,11
cpu,5,core,36,32,1,32,1,warm,G,4608,4608,0,0,16,32.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,459.64899999999994,451.75100000000003,489.01099999999997,32.634,12.907499999999999,15.217349999999998,19.883140000000004,,,11
cpu,6,core,36,32,1,64,1,warm,A,4608,4608,0,0,16,64.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,857.725,852.9330000000003,862.2629999999997,18.274,12.89,13.594799999999998,17.57451999999999,,,11
cpu,6,core,36,32,1,64,1,warm,B,4608,4608,0,0,16,64.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,845.3799999999999,834.8779999999999,851.2560000000004,4.641,12.901499999999999,13.656249999999998,16.15507999999999,,,11
cpu,6,core,36,32,1,64,1,warm,C,4608,4608,36,288,16,64.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1356.1279999999995,1350.0800000000002,1362.7029999999997,24.029,20.529,22.141799999999996,25.61360999999999,,,11
cpu,6,core,36,32,1,64,1,warm,D,4608,4608,36,288,16,64.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,2337.4539999999993,2317.962000000001,2344.4920000000006,26.613,35.587,39.02499999999999,45.08648999999999,,,11
cpu,6,core,36,32,1,64,1,warm,E,4608,4608,0,0,16,64.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,869.0770000000001,860.211,877.7570000000003,25.971,12.9765,13.63715,18.16303999999999,,,11
cpu,6,core,36,32,1,64,1,warm,F,4608,4608,0,0,16,64.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,862.9840000000002,861.6230000000003,872.0059999999997,25.95,12.89,13.4598,17.972309999999993,,,11
cpu,6,core,36,32,1,64,1,warm,G,4608,4608,0,0,16,64.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,871.1379999999997,866.3420000000003,873.2109999999998,32.324,12.867,13.4744,17.951859999999993,,,11
cpu,7,core,36,32,1,128,1,warm,A,4608,4608,0,0,16,128.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1703.9520000000005,1690.5620000000001,1715.4989999999998,19.048,13.0715,13.40775,16.215540000000004,,,11
cpu,7,core,36,32,1,128,1,warm,B,4608,4608,0,0,16,128.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1680.9370000000013,1668.3259999999996,1694.5110000000002,4.797,12.985,13.36295,15.257010000000005,,,11
