encoder,rung,age,n,latent_minus_symbolic,ci_low,ci_high,source_main,source_baseline
DINOv2,jpeg_q50_224,2,90,0.8941679307617068,0.6471113072946292,1.1746286725112203,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,3,90,1.0136632736089697,0.7615102732062858,1.3181054129200636,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,5,90,1.0770508728770194,0.8195068399918245,1.3744292917892373,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,8,90,1.1210458344017336,0.8449141755015993,1.45822134552091,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,12,90,1.1197115014324384,0.836980564982599,1.5072877745376034,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,20,90,0.9703226179371125,0.6297423513875802,1.416556718295022,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,30,88,0.7858996349071066,0.46882576712835666,1.202927311942396,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,40,81,0.7746998613101745,0.3830436513248612,1.2022472752794229,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,0,90,-0.16060051695081112,-0.3297260273792366,-0.028997217504908735,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,1,90,-0.03124877079844035,-0.20236327592610465,0.11717672118445162,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,2,90,0.1354785173373808,-0.05478495266905363,0.29164121490593137,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,3,90,0.26818455111419726,0.06899477624019625,0.4390062945410751,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,5,90,0.4235794115873295,0.21647704110155694,0.6122103701098608,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,8,90,0.5776078757746422,0.3554178964702941,0.776411876092976,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,12,90,0.6414534296813406,0.3970228420957312,0.8791543064130029,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,20,90,0.6338661802591385,0.3474655697369297,0.9416326914067474,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,30,88,0.522322116667044,0.23732310005356355,0.8285572407023706,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_224,40,81,0.5329615164890664,0.221779172714292,0.8819011688604157,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,0,90,1.5204512912350938,1.2247632084592408,1.9070566355147198,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,1,90,1.5996477237922,1.2906370403894842,1.9816324685992517,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,2,90,1.650311290793649,1.3496451277899555,2.0336566931087625,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,3,90,1.6849057366167342,1.3531897134587056,2.1185546088437484,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,5,90,1.6185031357420943,1.2731218540320806,2.0522253446041256,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,8,90,1.5137228698197727,1.1609801198601035,1.9848131638669781,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,12,90,1.414478844818021,1.0696989639059056,1.910716254556946,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,20,90,1.1419525438821267,0.7467134136579184,1.632475366850405,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,30,88,0.9953613154250263,0.6317254192721707,1.4531388897509503,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q10_518,40,81,0.9680857027730247,0.6081871881476918,1.4361276527343192,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,0,90,-0.22987792702496967,-0.35339189528791504,-0.12114316556874033,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,1,90,-0.1551156028538117,-0.28805909082975584,-0.036369854053090546,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,2,90,-0.0807170910080775,-0.22156704121810222,0.044717635143590326,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,3,90,0.017546330668716248,-0.12576944846913193,0.15199741624834076,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,5,90,0.15340745180575965,-0.0066552856846442575,0.2948584813605097,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,8,90,0.31727540161411405,0.14965198570820068,0.45856432076125037,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,12,90,0.43019204621484664,0.2678646158217273,0.5916377669925036,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,20,90,0.38384903755111477,0.17075213722930938,0.6006817713474707,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,30,88,0.3119488227471039,0.08174563544091994,0.550507346012647,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_518,40,81,0.3602034844622586,0.10411850844866746,0.6462546356359903,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,0,90,-0.22960808033202695,-0.28797882944630626,-0.1727001085877953,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,1,90,-0.24210298554789317,-0.32038320447659496,-0.17101842766726214,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,2,90,-0.19364713450269985,-0.29097872962775423,-0.10151125366312268,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,3,90,-0.1365443729262033,-0.24461762965807585,-0.03364908643620018,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,5,90,-0.05584218040793554,-0.18595060166953178,0.05524242633891963,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,8,90,0.07181931728727076,-0.05451476323141955,0.18962758499407756,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,12,90,0.18342100092141134,0.06105161604265866,0.29807826106683144,q1q3_all90.json,e21_floor_dinov2.json
