device,cells,rank,consumers,arm,mode,domain_id,domain_name,gross_median_mJ,ci_low,ci_high,idle_subtracted_median_mJ,idle_subtracted_ci_low,idle_subtracted_ci_high,blocks,energy_kind,note
cpu,144,32,3,F,write,intel-rapl:0,package-1,1.7821149840595112,1.7724098357760905,1.8467088576449913,0.9115155040981487,0.8441404428239626,0.9529896503702902,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,F,write,intel-rapl:0:0,dram,0.20751829419035847,0.20634528896672505,0.20850092116917626,0.08411263010450398,0.07128533294881777,0.08959243357882521,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,F,write,intel-rapl:1,package-0,1.6104250966608082,1.55828970952887,1.7918999474605954,0.7567595320689489,0.6737846678390543,0.869763657250186,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,F,write,intel-rapl:1:0,dram,0.13394592971923008,0.1328246234676007,0.1343784410983171,-0.01592044398575185,-0.03619549136194199,-0.009072412774978259,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,read,intel-rapl:0,package-1,0.9719302005730659,0.6931674827586207,0.9988176034236804,0.4136533305752247,0.16398664445975059,0.5599344028818267,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,read,intel-rapl:0:0,dram,0.11125260918888258,0.06819280459770115,0.11247340974212035,0.028570734018705548,-0.007995033943350164,0.047844487728926514,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,read,intel-rapl:1,package-0,0.8894329836499385,0.6423084942528735,0.9732722967189729,0.34781152756263234,0.14566698867609593,0.5591908421947693,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,read,intel-rapl:1:0,dram,0.07221483594864479,0.07162470465929496,0.08707564367816092,-0.017032076672912653,-0.030705568129761943,-0.009403214563432285,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,write,intel-rapl:0,package-1,4.940259333958724,3.4678157471264366,4.962228948609146,2.2547813052069063,0.8212533262401835,2.7864108636750204,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,write,intel-rapl:0:0,dram,0.5534193714821763,0.34147580459770116,0.5578950213371265,0.1426596870247748,-0.0395581554744058,0.23983297784978025,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,write,intel-rapl:1,package-0,4.329709476661952,3.332767068965517,4.813696579194002,2.1277087850517784,0.8489417862187348,2.5830754945150645,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,G,write,intel-rapl:1:0,dram,0.3572019801980198,0.35546735459662293,0.43617488505747126,-0.08555854767111976,-0.1514877154282775,-0.046149163137767256,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,read,intel-rapl:0,package-1,5.834923253333334,5.790533333333333,6.047022406181015,3.314431369633501,3.088705907443779,3.4617818761582537,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,read,intel-rapl:0:0,dram,0.6331460752688172,0.6265358359957401,0.6502406732891832,0.27709330475730787,0.2540430161539178,0.30287448071233963,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,read,intel-rapl:1,package-0,5.471319755058572,4.877155466666666,5.647259988962472,3.083297276637026,2.4514629735379243,3.204656218831601,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,read,intel-rapl:1:0,dram,0.40776720430107527,0.4040227733333333,0.41829205298013244,-0.050010976376945196,-0.06879675709721418,-0.02308237001456637,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,write,intel-rapl:0,package-1,25.05260913348946,24.432064133016627,25.8695961352657,13.776302549176634,13.212358926060254,14.24386152147503,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,write,intel-rapl:0:0,dram,2.7954190023752967,2.7594606557377053,2.8398425120772948,1.2311772658467577,1.102620842775319,1.2838966044037154,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,write,intel-rapl:1,package-0,23.58069688995215,22.172349758454107,24.379302606635072,12.828572788782594,11.182225001261559,13.703490206568713,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,A,write,intel-rapl:1:0,dram,1.800048578199052,1.7777812646370024,1.832792270531401,-0.22026926398177313,-0.30577432390820136,-0.09808123981327285,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,B,read,intel-rapl:0,package-1,5.741335683060109,5.682961563517916,5.836029771398192,3.136032930823222,3.067546490032654,3.2493674439099034,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,B,read,intel-rapl:0:0,dram,0.6373592532467532,0.6201583991574513,0.6425507103825137,0.2705677331413888,0.2425035298567401,0.2980567962842164,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
