cells,rank,payload_bytes,consumers,reuse,comparison,median_difference_us,ci_low,ci_high,winner,inference
144,64,36864,1,2,G minus F,0.2510000000000012,-2.25,0.6660000000000004,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,4,E minus C,-6.7940000000000005,-7.207999999999998,-6.417999999999999,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,4,G minus C,-6.250999999999998,-6.668000000000003,-5.918999999999997,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,4,G minus F,0.49799999999999756,-0.29400000000000404,0.9150000000000063,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,8,E minus C,-14.376999999999995,-14.710000000000008,-13.959000000000003,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,8,G minus C,-14.37599999999999,-14.831999999999994,-13.99900000000001,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,8,G minus F,0.08200000000000784,-0.4579999999999984,0.45699999999999363,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,16,E minus C,-30.587000000000018,-31.206000000000003,-29.333,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,16,G minus C,-30.540999999999997,-33.375,-28.089000000000013,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,16,G minus F,-1.5030000000000001,-4.711000000000013,0.08400000000000318,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,32,E minus C,-61.37699999999995,-67.28999999999999,-58.75499999999997,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,32,G minus C,-62.66300000000001,-68.00200000000001,-61.37499999999994,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,32,G minus F,-0.5349999999999966,-3.9170000000000016,8.707999999999998,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,64,E minus C,-123.24600000000004,-141.161,-105.50400000000002,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,64,G minus C,-124.79000000000002,-130.95900000000012,-110.7960000000001,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,64,G minus F,1.5020000000000664,-13.91500000000002,12.076000000000022,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,128,E minus C,-243.71100000000013,-274.15199999999993,-230.62400000000002,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,128,G minus C,-250.78800000000012,-270.53999999999985,-101.15800000000013,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,128,G minus F,-1.2509999999999764,-29.123000000000047,136.63300000000004,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,1,E minus C,-1.5,-2.123000000000001,-1.125,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,1,G minus C,1.0400000000000027,0.29299999999999926,1.416999999999998,C,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,1,G minus F,2.666000000000004,2.083999999999996,3.5829999999999984,F,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,2,E minus C,-3.833999999999996,-4.9169999999999945,-3.3770000000000095,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,2,G minus C,-4.373999999999995,-5.375999999999998,-2.540999999999997,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,2,G minus F,-0.7079999999999984,-1.0399999999999991,1.6260000000000048,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,4,E minus C,-8.540999999999997,-10.164999999999992,-8.001000000000005,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,4,G minus C,-16.790999999999997,-17.251000000000005,-15.710999999999999,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,4,G minus F,-7.957999999999998,-8.375,-6.293999999999997,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,8,E minus C,-19.170999999999992,-37.042,-15.498999999999995,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,8,G minus C,-39.745000000000005,-50.623999999999995,-36.704999999999984,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,8,G minus F,-22.335000000000008,-30.079999999999984,-16.998999999999995,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,16,E minus C,-34.87800000000004,-47.99399999999997,6.078000000000031,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,16,G minus C,-81.75,-86.24699999999996,-81.04199999999997,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,16,G minus F,-49.245000000000005,-65.709,-34.49599999999998,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,32,E minus C,-65.66499999999996,-76.875,78.78099999999995,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,32,G minus C,-188.793,-211.88699999999994,-157.24699999999996,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,32,G minus F,-123.71299999999997,-141.86799999999994,-100.54499999999996,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,64,E minus C,-134.41300000000024,-163.36300000000006,-114.19600000000014,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,64,G minus C,-353.0799999999999,-440.2420000000002,-324.039,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,64,G minus F,-218.087,-437.924,-184.90800000000013,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,128,E minus C,-253.67700000000013,-432.0920000000001,-179.02299999999968,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,128,G minus C,-782.8780000000002,-856.6759999999999,-769.9950000000003,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,3,128,G minus F,-710.0520000000001,-849.0290000000005,-475.41399999999976,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,1,E minus C,-1.75,-1.9579999999999984,-1.168999999999997,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,1,G minus C,-0.8349999999999973,-1.3739999999999988,-0.7079999999999984,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
