suite,task_id,task,initial_state_index,arm,success,steps,decisions,acquisitions,wall_seconds,inference_median_seconds,inference_p95_seconds,inference_total_seconds,gpu_board_gross_inference_total_mJ,gpu_board_gross_episode_mJ,peak_gpu_allocated_bytes
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,39,fresh,1,77,5,5,45.65645225625485,1.1795476311817765,1.185509375296533,5.893111472949386,,5367019.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,40,fresh,1,76,5,5,44.36860246676952,1.1699770856648684,1.186849814094603,5.873315523378551,,5258008.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,1,fresh,1,145,10,10,51.90375240612775,1.1855914634652436,1.2006695299874992,11.881925055757165,,7259566.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,2,fresh,1,133,9,9,47.99434267170727,1.1899251900613308,1.2026369728147983,10.73290784843266,,6710072.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,3,fresh,1,143,9,9,48.892567939125,1.179097211919725,1.231349112279713,10.69884024001658,,6801672.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,4,fresh,1,137,9,9,49.47432579100132,1.1790335774421692,1.1893729619681834,10.625192035920918,,6846178.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,5,fresh,1,141,9,9,49.44764749798924,1.1880893791094422,1.197630849853158,10.689114043489099,,6854701.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,6,fresh,1,139,9,9,49.14172370173037,1.1761638019233942,1.1931051008403302,10.611349095590413,,6830731.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,7,fresh,1,124,8,8,43.98293374106288,1.1742010819725692,1.184980375971645,9.414330502040684,,6096408.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,8,fresh,1,129,9,9,46.474732470698655,1.1857644384726882,1.2550017679110168,10.759142810478806,,6557028.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,9,fresh,1,127,8,8,45.21809639316052,1.1837686896324158,1.1982398768886924,9.483009385876358,,6210675.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,10,fresh,1,141,9,9,49.59322907868773,1.1790305944159627,1.1868836080655456,10.616303462535143,,6860731.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,11,fresh,1,144,9,9,50.38175940141082,1.1756086815148592,1.1795262448489665,10.586367243900895,,6934236.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,12,fresh,1,135,9,9,48.10010324046016,1.1904900185763836,1.2028715142980217,10.696489964611828,,6697788.0,5107576832
